mtu,tx bps(Gbps)
1518,0
1518,0
1518,0
1518,2.843786496
1518,19.67381312
1518,19.684202624
1518,19.71573568
1518,19.811736064
1518,19.86759104
1518,19.886376448
1518,19.849466368
1518,19.91167808
1518,19.986888064
1518,19.91481088
1518,19.887344768
1518,19.919925888
1518,19.932377344
1518,19.939804928
1518,19.89333696
1518,19.909809792
1518,19.843633664
1518,19.93662656
1518,19.926578816
1518,19.785899008
1518,19.655483392
1518,19.905082112
1518,19.877855232
1518,19.915733632
1518,19.959478912
1518,19.890397824
1518,19.8468576
1518,19.925166208
1518,19.938608768
1518,19.958248576
1518,19.90472896
1518,19.965630592
1518,19.925963648
1518,19.894954624
1518,19.930896384
1518,19.91076672
